input_projector,khop,loss_id,loss_name,model_name,setting_id,spatial,target_station_name,temporal,variant_id,windowsize
slope,3,meankge,mean_kge,gr2n,S0001_best_model_from_phase2_w24_k3_meankge,gat,,attention,best_model_from_phase2,24
slope,3,single_station_kge_Shiquan,single_station_kge,gr2n,S0002_best_model_from_phase2_w24_k3_single_station_kge_Shiquan,gat,Shiquan,attention,best_model_from_phase2,24
