time,obs_hanzhong,pred_hanzhong,err_hanzhong,obs_yangxian,pred_yangxian,err_yangxian,obs_youshui,pred_youshui,err_youshui,obs_lianghekou,pred_lianghekou,err_lianghekou,obs_shiquan,pred_shiquan,err_shiquan
2011-06-03,23.17204,27.733671,4.5616302,58.05188,49.2975,-8.754379,4.566787,4.944955,0.3781681,15.019756,16.730547,1.7107906,172.35626,177.54253,5.186264
2011-06-04,17.844313,19.69299,1.8486767,39.024765,35.603783,-3.4209824,3.5259414,3.8911343,0.3651929,11.426549,12.289714,0.8631649,117.61113,132.50092,14.889786
2011-06-05,14.506785,15.315855,0.80906963,30.624445,33.695347,3.0709019,3.114016,3.2988367,0.18482065,9.465698,9.672362,0.20666409,91.24384,102.8461,11.602257
2011-06-06,19.502985,12.446523,-7.0564623,29.766455,29.244408,-0.52204704,3.188283,2.8109643,-0.37731862,8.353724,7.96134,-0.39238358,81.12788,81.698044,0.57016754
2011-06-07,11.868499,10.2704735,-1.5980253,28.499258,23.881254,-4.618004,2.2237124,2.4058864,0.18217397,6.7744966,6.735711,-0.038785458,71.86376,66.189705,-5.674057
2011-06-08,14.764413,16.16328,1.3988676,20.32112,33.362648,13.041529,2.9331338,3.4893184,0.55618453,7.4213705,7.9455385,0.524168,60.372272,57.741577,-2.6306953
2011-06-09,71.04489,34.41943,-36.62546,67.57939,56.48199,-11.097401,5.3961015,3.5444965,-1.8516049,11.304496,8.793982,-2.5105143,100.10368,83.20873,-16.89495
2011-06-10,58.022797,29.646194,-28.376602,116.09865,53.217556,-62.881092,2.181788,2.6804097,0.4986217,7.3124113,7.1358194,-0.17659187,156.29195,106.441414,-49.850533
2011-06-11,30.40619,19.946678,-10.459513,73.32674,38.731552,-34.595184,1.2934442,2.0459235,0.7524793,4.455885,5.8536563,1.3977714,123.13559,92.17782,-30.957771
2011-06-12,19.521427,14.269101,-5.252326,42.687477,28.352629,-14.334848,1.172759,1.6568499,0.4840908,4.107941,4.8335586,0.7256174,75.19028,71.400566,-3.789711
2011-06-13,28.820198,30.814627,1.9944286,45.274406,49.030624,3.756218,3.5652533,4.191496,0.62624264,4.1405706,4.836872,0.69630146,71.85587,97.28407,25.4282
2011-06-14,108.10049,93.05193,-15.048553,182.79,120.653175,-62.136818,7.9986486,6.8912187,-1.10743,5.117867,4.3819184,-0.73594856,208.92639,177.65137,-31.275024
2011-06-15,101.50508,83.709526,-17.795555,262.84586,114.782814,-148.06305,2.4105344,4.563769,2.1532345,2.74743,3.7986073,1.0511773,308.9518,157.43951,-151.5123
2011-06-16,65.66425,93.831726,28.167473,167.84363,123.11292,-44.730705,3.4770994,5.6922574,2.215158,12.412062,11.923015,-0.48904705,293.87854,218.46367,-75.41487
