best_epoch,best_metric,execution,input_projector,khop,loss_id,loss_name,model_name,run_dir,seed,setting_id,spatial,status,target_station_name,temporal,train_log,variant_id,windowsize
nan,nan,dry_run,slope,2,meankge,mean_kge,gr2n,F:\research\Research\Routing\code\checkpoints\experiments\routing_phase2_hyperparams\S0001_gr2n_gat_attn_slope_w16_k2_meankge\seed_0042,42,S0001_gr2n_gat_attn_slope_w16_k2_meankge,gat,dry_run,,attention,F:\research\Research\Routing\code\checkpoints\experiments\routing_phase2_hyperparams\S0001_gr2n_gat_attn_slope_w16_k2_meankge\seed_0042\train.log,gr2n_gat_attn_slope,16
nan,nan,dry_run,slope,3,meankge,mean_kge,gr2n,F:\research\Research\Routing\code\checkpoints\experiments\routing_phase2_hyperparams\S0002_gr2n_gat_attn_slope_w16_k3_meankge\seed_0042,42,S0002_gr2n_gat_attn_slope_w16_k3_meankge,gat,dry_run,,attention,F:\research\Research\Routing\code\checkpoints\experiments\routing_phase2_hyperparams\S0002_gr2n_gat_attn_slope_w16_k3_meankge\seed_0042\train.log,gr2n_gat_attn_slope,16
