setting_id,variant_id,seed,windowsize,khop,loss_name,loss_id,target_station_name,model_name,input_projector,spatial,temporal,run_dir,train_log,execution,status,best_epoch,best_metric
S0001_gr2n_gat_attn_slope_w16_k2_meankge,gr2n_gat_attn_slope,42,16,2,mean_kge,meankge,,gr2n,slope,gat,attention,F:\research\Research\Routing\code\checkpoints\experiments\routing_phase2_hyperparams\S0001_gr2n_gat_attn_slope_w16_k2_meankge\seed_0042,F:\research\Research\Routing\code\checkpoints\experiments\routing_phase2_hyperparams\S0001_gr2n_gat_attn_slope_w16_k2_meankge\seed_0042\train.log,dry_run,dry_run,,
S0002_gr2n_gat_attn_slope_w16_k3_meankge,gr2n_gat_attn_slope,42,16,3,mean_kge,meankge,,gr2n,slope,gat,attention,F:\research\Research\Routing\code\checkpoints\experiments\routing_phase2_hyperparams\S0002_gr2n_gat_attn_slope_w16_k3_meankge\seed_0042,F:\research\Research\Routing\code\checkpoints\experiments\routing_phase2_hyperparams\S0002_gr2n_gat_attn_slope_w16_k3_meankge\seed_0042\train.log,dry_run,dry_run,,
