best_epoch,best_metric,execution,input_projector,khop,loss_id,loss_name,model_name,run_dir,seed,setting_id,spatial,status,target_station_name,temporal,train_log,variant_id,windowsize
nan,nan,dry_run,slope,3,meankge,mean_kge,gr2n,F:\research\Research\Routing\code\checkpoints\experiments\routing_phase3_objective\S0001_best_model_from_phase2_w24_k3_meankge\seed_0042,42,S0001_best_model_from_phase2_w24_k3_meankge,gat,dry_run,,attention,F:\research\Research\Routing\code\checkpoints\experiments\routing_phase3_objective\S0001_best_model_from_phase2_w24_k3_meankge\seed_0042\train.log,best_model_from_phase2,24
nan,nan,dry_run,slope,3,meankge,mean_kge,gr2n,F:\research\Research\Routing\code\checkpoints\experiments\routing_phase3_objective\S0001_best_model_from_phase2_w24_k3_meankge\seed_3407,3407,S0001_best_model_from_phase2_w24_k3_meankge,gat,dry_run,,attention,F:\research\Research\Routing\code\checkpoints\experiments\routing_phase3_objective\S0001_best_model_from_phase2_w24_k3_meankge\seed_3407\train.log,best_model_from_phase2,24
