input_projector,khop,loss_id,loss_name,model_name,setting_id,spatial,target_station_name,temporal,variant_id,windowsize
slope,3,meankge,mean_kge,gr2n,S0001_gr2n_gcn_tail_slope_w24_k3_meankge,gcn,,tail_mean,gr2n_gcn_tail_slope,24
slope,3,meankge,mean_kge,gr2n,S0002_gr2n_gcn_attn_slope_w24_k3_meankge,gcn,,attention,gr2n_gcn_attn_slope,24
slope,3,meankge,mean_kge,gr2n,S0003_gr2n_gat_attn_slope_w24_k3_meankge,gat,,attention,gr2n_gat_attn_slope,24
mlp,3,meankge,mean_kge,gr2n,S0004_gr2n_gat_attn_mlp_w24_k3_meankge,gat,,attention,gr2n_gat_attn_mlp,24
slope,3,meankge,mean_kge,gr2n_seq2seq,S0005_gr2n_seq2seq_gcn_attn_slope_w24_k3_meankge,gcn,,attention,gr2n_seq2seq_gcn_attn_slope,24
slope,3,meankge,mean_kge,gr2n_seq2seq,S0006_gr2n_seq2seq_gat_attn_slope_w24_k3_meankge,gat,,attention,gr2n_seq2seq_gat_attn_slope,24
